d20550|断掉电源电路。|├電源回路抹消
d20928|池塘的紧急停止装置钱和铁轨之间的空隙|│├かご非常止め装置クワエ金とレールの間隙左
d20929|池塘的紧急停止装置，钱和铁轨之间的空隙右边|│├かご非常止め装置クワエ金とレールの間隙右
d20930|吊篮紧急停止装置防振装置和转向杆间间隙消除|├かご非常止め装置防振ｺﾞﾑとｽﾄｯﾊﾟｰ間隙抹消
d20931|池塘的紧急停止装置防振装置和工作台的间隙左|├かご非常止め装置防振ｺﾞﾑとｽﾄｯﾊﾟｰ間隙上左
d20932|池塘的紧急停止装置防振装置和工作台的间隙上右|├かご非常止め装置防振ｺﾞﾑとｽﾄｯﾊﾟｰ間隙上右
d20933|池塘的紧急停止装置防振装置和工作台的间隙左|├かご非常止め装置防振ｺﾞﾑとｽﾄｯﾊﾟｰ間隙下左
d20934|池塘的紧急停止装置防振装置和工作台的间隙下右|├かご非常止め装置防振ｺﾞﾑとｽﾄｯﾊﾟｰ間隙下右
d08896|轿厢地板的沉降量mm|かご床の沈み量mm
d20918|轿厢地板的沉积物|かご床の沈み量分
d08645|冰水计划者行程（间隙）|├プランジャーストローク（ギャップ）
d21075|断水检查项目1（11）-3・检查结果（品检）|├検査項目1(11)-3・検査結果(品検)
d21080|断水检查项目1（11）-3・检查结果（法检）|├検査項目1(11)-3・検査結果(法検)
d21074|断水检查项目1（11）-2・检查结果（品检）|├検査項目1(11)-2・検査結果(品検)
d21079|断水检查项目1（11）-2・检查结果（法检）|├検査項目1(11)-2・検査結果(法検)
d21073|断水检查项目1（11）-1・检查结果（品检）|├検査項目1(11)-1・検査結果(品検)
d21078|断水检查项目1（11）-1・检查结果（法检）|├検査項目1(11)-1・検査結果(法検)
d21071|吊装量右抹消|├スプリング締付量右抹消
d21070|吊装量右抹消|├スプリング締付量右抹消
d09094|断水弹簧紧固量左抹消|├スプリング締付量左抹消
d21067|从吊绳车或卷筒主索的绳车的出代|├綱車又は巻胴主索の綱車からの出代
d21068|索道车或卷身无负荷上升紧急停止时的滑轮量抹消|├綱車又は巻胴無負荷上昇急停止時のすべり量抹消
d21069|索道车或卷身无负荷上升紧急停止时的滑轮量|├綱車又は巻胴無負荷上昇急停止時のすべり量
d20643|断水检查项目2（03）・检查结果（品检）|├検査項目2(03)・検査結果(品検)
d20778|断水检查项目2（03）・检查结果（法检）|├検査項目2(03)・検査結果(法検)
d22079|把壁橱的门抹掉。|├かごの戸抹消
d21076|断水检查项目3（01）-1・检查结果（品检）|├検査項目3(01)-1・検査結果(品検)
d21081|断水检查项目3（01）-1・检查结果（法检）|├検査項目3(01)-1・検査結果(法検)
d21077|断水检查项目3（01）-2・检查结果（品检）|├検査項目3(01)-2・検査結果(品検)
d21082|断水检查项目3（01）-2・检查结果（法检）|├検査項目3(01)-2・検査結果(法検)
d20911|断线面积的比例|├主索ロープ素線切れ断面積の割合
d08708|池塘钓合物的各部分钓合物的向导，滚子上部左|├釣合おもりの各部釣合おもりのガイドシュー・ローラー上部左
d08710|垂钓物的各部分平衡的向导，滚子上部右|├釣合おもりの各部釣合おもりのガイドシュー・ローラー上部右
d08712|池塘钓合物的各部分钓合物的向导，滚子下部左|├釣合おもりの各部釣合おもりのガイドシュー・ローラー下部左
d08714|池塘钓合物的各部分钓合物的向导·滚子下部右|├釣合おもりの各部釣合おもりのガイドシュー・ローラー下部右
d20704|断水检查项目5（06）・检查结果（品检）|├検査項目5(06)・検査結果(品検)
d20839|断水检查项目5（06）・检查结果（法检）|├検査項目5(06)・検査結果(法検)
d20705|断水检查项目5（07）・检查结果（品检）|├検査項目5(07)・検査結果(品検)
d20840|断水检查项目5（07）・检查结果（法检）|├検査項目5(07)・検査結果(法検)
d20706|断水检查项目5（08）・检查结果（品检）|├検査項目5(08)・検査結果(品検)
d20841|断水检查项目5（08）・检查结果（法检）|├検査項目5(08)・検査結果(法検)
d30750|雪闸制动距离（通过按键开关的制动距离）抹消|├ブレーキ制動距離(キースイッチによる制動距離)抹消
d30751|冷却制动制动距离（通过按键开关的制动距离）上升|├ブレーキ制動距離(キースイッチによる制動距離)上昇
d30752|液态制动器制动距离（通过按键开关的制动距离）下降|├ブレーキ制動距離(キースイッチによる制動距離)下降
d08194|水闸弹簧拧紧量抹消|├ブレーキスプリング締込量抹消
d09468|液态制动器弹簧夹紧量|├ブレーキスプリング締込量
d09469|液态制动器弹簧夹紧量单位区分|├ブレーキスプリング締込量単位区分
d21183|雪降速度器V型皮带1良/否张力抹消|│├減速器Vベルト1良・否張力抹消
d21184|断水减速器V型皮带2良/否张力抹消|│├減速器Vベルト２良・否張力抹消
d21185|雪降速度器V型皮带3良/否张力抹消|│├減速器Vベルト３良・否張力抹消
d21037|断水减速器普利状态消失|├減速器プーリー状態抹消
d09509|设置断水驱动链|├駆動鎖設定
d09511|长度驱动链调整费、增长率|└ドライブチェーン調整代・伸び率
d21013|长时间形成防火区划的快门或与门的联动停止装置FSS等的工作距离|└防火区画を形成するシャッター又は戸との連動停止装置ＦＳＳ等の作動距離
d21015|断水装置等X（01）-1-1・检查结果（品检）|├付加装置等X(01)-1-1・検査結果（品検）
d21016|断水装置等X（01）-1-2・检查结果（品检）|├付加装置等X(01)-1-2・検査結果（品検）
d21017|断水装置等X（01）-2-1・检查结果（品检）|├付加装置等X(01)-2-1・検査結果（品検）
d21018|断水装置等X（01）-2-2・检查结果（品检）|├付加装置等X(01)-2-2・検査結果（品検）
d20730|断水检查项目7（06）・检查结果（品检）|├検査項目7(06)・検査結果(品検)
d20865|断水检查项目7（06）・检查结果（法检）|├検査項目7(06)・検査結果(法検)
d20731|断水检查项目7（07）・检查结果（品检）|├検査項目7(07)・検査結果(品検)
d20866|断水检查项目7（07）・检查结果（法检）|├検査項目7(07)・検査結果(法検)
d20732|断水检查项目7（08）・检查结果（品检）|├検査項目7(08)・検査結果(品検)
d20867|断水检查项目7（08）・检查结果（法检）|├検査項目7(08)・検査結果(法検)
d20733|断水检查项目7（09）・检查结果（品检）|├検査項目7(09)・検査結果(品検)
d20868|断水检查项目7（09）・检查结果（法检）|├検査項目7(09)・検査結果(法検)
d20734|断水检查项目7（10）・检查结果（品检）|├検査項目7(10)・検査結果(品検)
d20869|断水检查项目7（10）・检查结果（法检）|├検査項目7(10)・検査結果(法検)
d21084|断水检查项目X（01）-1-1・检查结果（品检）|├検査項目X(01)-1-1・検査結果(品検)
d21085|断水检查项目X（01）-2-1・检查结果（品检）|├検査項目X(01)-2-1・検査結果(品検)
d21019|断水检查项目X（01）-3-1・检查结果（品检）|├検査項目X(01)-3-1・検査結果(品検)
d21020|断水检查项目X（01）-3-2・检查结果（品检）|├検査項目X(01)-3-2・検査結果(品検)
d21086|断水检查项目X（01）-4-1・检查结果（品检）|├検査項目X(01)-4-1・検査結果(品検)
d21087|断水检查项目X（01）-4-2・检查结果（品检）|├検査項目X(01)-4-2・検査結果(品検)
d21088|断水检查项目X（01）-5-1・检查结果（品检）|├検査項目X(01)-5-1・検査結果(品検)
d30749|断水检查项目X（01）-5-2・检查结果（品检）|├検査項目X(01)-5-2・検査結果(品検)
d21089|断水检查项目X（01）-6-1・检查结果（品检）|├検査項目X(01)-6-1・検査結果(品検)
d21090|断水检查项目X（01）-6-2・检查结果（品检）|├検査項目X(01)-6-2・検査結果(品検)
d21091|断水检查项目X（01）-7-1・检查结果（品检）|├検査項目X(01)-7-1・検査結果(品検)
d21092|断水检查项目X（01）-7-2・检查结果（品检）|├検査項目X(01)-7-2・検査結果(品検)
d13241|步进运行时间|ステップ走行時間
d13243|扶手行走时间（左）|手すり走行時間(左)
d13244|扶手行驶时间（右）|手すり走行時間(右)
d16630|滑动手轨驱动装置扶手驱动力的状态|├ハンドレール駆動装置手摺駆動力の状態
d16631|与悬架铁轨驱动装置踏板同步|├ハンドレール駆動装置踏段との同期
d09181|栏杆驱动装置扶手滑动率左|│├ハンドレール駆動装置手摺スリップ率左
d09182|栏杆驱动装置扶手滑动率左|│├ハンドレール駆動装置手摺スリップ率左
d09184|栏杆驱动装置扶手滑动率右|│├ハンドレール駆動装置手摺スリップ率右
d09185|销售手轨驱动装置扶手滑动率右|│└ハンドレール駆動装置手摺スリップ率右
d09189|水手轨道驱动装置安装DP间隙右侧|│├ハンドレール駆動装置テイクアップDP間隙右
d09191|断水手轨驱动装置安装设定值左|│├ハンドレール駆動装置テイクアップ設定値左
d09193|列为手动轨道驱动装置安装设定值右侧|│└ハンドレール駆動装置テイクアップ設定値右
d22075|水面加压滚子设定状态左|│├加圧ローラ設定状態 左
d22076|水面加压滚子设定状态右|│├加圧ローラ設定状態 右
d21030|取消吊桶铁轨驱动装置扶手链条设定|├ハンドレール駆動装置手摺チェーン設定抹消
d09372|滑动手轨驱动装置扶手链条设定左上|├ハンドレール駆動装置手摺チェーン設定左上
d09375|滑动手轨驱动装置扶手链条设定左下|├ハンドレール駆動装置手摺チェーン設定左下
d09378|滑动手轨驱动装置扶手链条设定右上|├ハンドレール駆動装置手摺チェーン設定右上
d09381|滑动手轨驱动装置扶手链条设定右下|├ハンドレール駆動装置手摺チェーン設定右下
d21031|吊桶铁轨驱动装置取消扶手链条调整费|├ハンドレール駆動装置手摺チェーン調整代抹消
d03744|滑动手轨驱动装置扶手链条设定项目标志|├ハンドレール駆動装置手摺チェーン設定項目フラグ
d09384|滑动手轨驱动装置扶手链条调整费左上|├ハンドレール駆動装置手摺チェーン調整代左上
d09387|滑动手轨驱动装置扶手链条调整费左下|├ハンドレール駆動装置手摺チェーン調整代左下
d09390|滑动手轨驱动装置扶手链条调整费右上|├ハンドレール駆動装置手摺チェーン調整代右上
d09393|滑动手轨驱动装置扶手链条调整费右下|├ハンドレール駆動装置手摺チェーン調整代右下
d09195|吊桶扶手内寸法左|├ハンドレール手摺内寸法左
d09197|长柄钢轨扶手内尺寸法右|└ハンドレール手摺内寸法右
d09259|悬崖勒马之间的空隙左边。|├踏段相互のすき間左
d09261|介于两者之间的间隙右|└踏段相互のすき間右
d09203|悬崖峭壁和裙子间左1|├踏板とスカート間隙上左１
d09204|断水板和裙子间隙右1|├踏板とスカート間隙上右１
d09206|悬崖峭壁和裙子间左2|├踏板とスカート間隙上左２
d09207|在水上跳板和裙子的间隙右2|├踏板とスカート間隙上右２
d09209|悬崖峭壁和裙子间左3|├踏板とスカート間隙上左３
d09210|在水上跳板和裙子的间隙右3|├踏板とスカート間隙上右３
d09212|悬崖峭壁和裙子间左4|├踏板とスカート間隙上左４
d09213|断板和裙子间隙右4|├踏板とスカート間隙上右４
d09215|断脚板和裙子间隙左5|├踏板とスカート間隙上左５
d09216|断板和裙子间隙右5|├踏板とスカート間隙上右５
d09218|悬崖峭壁和裙子间左6|├踏板とスカート間隙上左６
d09219|在水上跳板和裙子的间隙右6|├踏板とスカート間隙上右６
d09221|断脚板和裙子间左1|├踏板とスカート間隙下左１
d09222|断水板和裙子间隙右1|├踏板とスカート間隙下右１
d09224|断水板和裙子间隙左2|├踏板とスカート間隙下左２
d09225|断水板和裙子间隙右2|├踏板とスカート間隙下右２
d09227|断水板和裙子间隙左3|├踏板とスカート間隙下左３
d09228|断水板和裙子间隙右3|├踏板とスカート間隙下右３
d09230|断水板和裙子间隙左4|├踏板とスカート間隙下左４
d09231|断水板和裙子间隙右4|├踏板とスカート間隙下右４
d09233|断水板和裙子间隙左5|├踏板とスカート間隙下左５
d09234|断脚板和裙子间隙右5|├踏板とスカート間隙下右５
d09236|断脚板和裙子间左6|├踏板とスカート間隙下左６
d09237|长脚板与裙子间隙右6|└踏板とスカート間隙下右６
d09187|雪手轨道驱动装置|│├ハンドレール駆動装置テイクアップDP間隙左
d09271|电源开关上部左|├インレットスイッチ上部左
d12867|电源开关上部左单位（N/kg）|├インレットスイッチ上部左単位(N/kg)
d09273|电源开关上部右|├インレットスイッチ上部右
d21170|电源开关上部右单位（N/kg）|├インレットスイッチ上部右単位(N/kg)
d09275|电源开关下部左|├インレットスイッチ下部左
d21171|电源开关下部左单位（N/kg）|├インレットスイッチ下部左単位(N/kg)
d21193|电源开关下部左单位（N/kg）|├インレットスイッチ下部左単位(N/kg)
d09277|电源开关下部右|├インレットスイッチ下部右
d21172|电源开关下部右单位（N/kg）|├インレットスイッチ下部右単位(N/kg)
d21194|电源开关下部右单位（N/kg）|├インレットスイッチ下部右単位(N/kg)
d09279|吊带裙保护开关上部左|├スカートガードスイッチ上部左
d12868|吊带裙保护开关上部左单位（N/kg）|├スカートガードスイッチ上部左単位(N/kg)
d09281|吊带裙保护开关上部右|├スカートガードスイッチ上部右
d21173|吊带裙保护开关上部右单位（N/kg）|├スカートガードスイッチ上部右単位(N/kg)
d21195|吊带裙保护开关上部右单位（N/kg）|├スカートガードスイッチ上部右単位(N/kg)
d21044|断水裙防御开关SSS部位1抹消|├スカートガードスイッチSSS部位１抹消
d21043|水面裙防御开关SSS部位1名称|├スカートガードスイッチSSS部位１名称
d21045|水面裙防御开关SSS部位1左|├スカートガードスイッチSSS部位１左
d21046|水面裙防御开关SSS部位1左单位|├スカートガードスイッチSSS部位１左単位
d21047|水面裙防御开关SSS部位1右|├スカートガードスイッチSSS部位１右
d21048|水面裙防御开关SSS部位1右单位|├スカートガードスイッチSSS部位１右単位
d22073|水面裙防御开关SSS部位1好坏|├スカートガードスイッチSSS部位１良否
d21050|水面裙防御开关SSS部位2抹消|├スカートガードスイッチSSS部位２抹消
d21049|水面裙防御开关SSS部位2名称|├スカートガードスイッチSSS部位２名称
d21051|寒裙防御开关SSS部位2左|├スカートガードスイッチSSS部位２左
d21052|寒裙防御开关SSS部位2左单位|├スカートガードスイッチSSS部位２左単位
d21053|水面裙防御开关SSS部位2右|├スカートガードスイッチSSS部位２右
d21054|水面裙防御开关SSS部位2右单位|├スカートガードスイッチSSS部位２右単位
d22074|寒裙防御开关SSS部位2好坏|├スカートガードスイッチSSS部位２良否
d09283|吊带裙保护开关下部左|├スカートガードスイッチ下部左
d21174|吊带裙保护开关下部左单位（N/kg）|├スカートガードスイッチ下部左単位(N/kg)
d21196|吊带裙保护开关下部左单位（N/kg）|├スカートガードスイッチ下部左単位(N/kg)
d09285|吊带裙保护开关下部右|├スカートガードスイッチ下部右
d21175|吊带裙保护开关下部右单位（N/kg）|├スカートガードスイッチ下部右単位(N/kg)
d21197|吊带裙保护开关下部右单位（N/kg）|├スカートガードスイッチ下部右単位(N/kg)
d09299|水面踏板安全开关上部左+|├踏段鎖安全スイッチ上部左＋
d09301|水面台阶链安全开关上部右+|├踏段鎖安全スイッチ上部右+
d09303|悬崖峭壁锁链安全开关上部左-|├踏段鎖安全スイッチ上部左-
d09305|悬崖峭壁锁链安全开关上部右-|├踏段鎖安全スイッチ上部右-
d09307|水上踏板安全开关下部左+|├踏段鎖安全スイッチ下部左＋
d09309|水上链安全开关下部右+|├踏段鎖安全スイッチ下部右+
d09311|悬崖峭壁锁链安全开关下部左-|├踏段鎖安全スイッチ下部左-
d09313|水上链安全开关下部右-|├踏段鎖安全スイッチ下部右-
d09316|水面浮起检测装置上部左抹消|├踏段浮上がり検出装置上部左抹消
d09317|水面浮起检测装置上部左入|├踏段浮上がり検出装置上部左入
d12866|水面浮起检测装置上部左入单位（mm/N/kg）|├踏段浮上がり検出装置上部左入単位(mm/N/kg)
d09319|水面浮起检测装置上部左出|├踏段浮上がり検出装置上部左出
d21177|水面浮起检测装置上部左出单位（mm/N/kg）|├踏段浮上がり検出装置上部左出単位(mm/N/kg)
d09321|水面浮起检测装置上部右勾消|├踏段浮上がり検出装置上部右抹消
d09322|水面浮起检测装置上部右入|├踏段浮上がり検出装置上部右入
d21176|水面浮起检测装置上部右入单位（mm/N/kg）|├踏段浮上がり検出装置上部右入単位(mm/N/kg)
d09324|水面浮起检测装置上部右出|├踏段浮上がり検出装置上部右出
d21178|水面浮起检测装置上部右出单位（mm/N/kg）|├踏段浮上がり検出装置上部右出単位(mm/N/kg)
d09326|水面浮起检测装置下部左抹消|├踏段浮上がり検出装置下部左抹消
d09327|水面浮起检测装置下部左入|├踏段浮上がり検出装置下部左入
d21179|水面浮起检测装置下部左入单位（mm/N/kg）|├踏段浮上がり検出装置下部左入単位(mm/N/kg)
d09329|水面浮起检测装置下部左出|├踏段浮上がり検出装置下部左出
d21181|水面浮起检测装置下部左出单位（mm/N/kg）|├踏段浮上がり検出装置下部左出単位(mm/N/kg)
d09331|水面浮起检测装置下部左抹消|├踏段浮上がり検出装置下部左抹消
d09332|水面浮起检测装置下部右入|├踏段浮上がり検出装置下部右入
d21180|水面浮起检测装置下部右入单位（mm/N/kg）|├踏段浮上がり検出装置下部右入単位(mm/N/kg)
d09334|水面浮起检测装置下部右出|├踏段浮上がり検出装置下部右出
d21182|水面浮起检测装置下部右出单位（mm/N/kg）|├踏段浮上がり検出装置下部右出単位(mm/N/kg)
d09358|断掉水驱动链时停止装置上升下降运行后开关动作点上升左|├駆動鎖切断時停止装置上昇下降運転後スイッチ動作点上昇左
d09360|断掉水驱动链时停止装置上升下降运行后开关动作点上升右|├駆動鎖切断時停止装置上昇下降運転後スイッチ動作点上昇右
d21034|断掉水驱动链时停止装置上升下降运行后开关动作点下降左|├駆動鎖切断時停止装置上昇下降運転後スイッチ動作点下降左
d21035|断掉水驱动链时停止装置上升下降运行后开关动作点下降右|├駆動鎖切断時停止装置上昇下降運転後スイッチ動作点下降右
d21192|电源开关上部右单位（N/kg）|├インレットスイッチ上部右単位(N/kg)
d21055|清除吊桶长度|│├スプリング長さ抹消
d09501|断水弹簧长度左|│├スプリング長さ左
d09503|列弹簧长度右|│└スプリング長さ右
d21056|断水绳轴和下部圆形②注销|│├ｽﾌﾟﾛｹｯﾄ軸と下部円形ﾚｰﾙ抹消
d09505|水面电缆轴和下部圆形②左侧|│├ｽﾌﾟﾛｹｯﾄ軸と下部円形ﾚｰﾙ左
d09507|水面电缆轴和下部圆形②右边|│├ｽﾌﾟﾛｹｯﾄ軸と下部円形ﾚｰﾙ右
d21057|断掉断水下面的电线绳，底座车的便签|├下部ｽﾌﾟﾛｹｯﾄ台車ｼｭｰ抹消
d18293|断水下面的绳子缆台车的便签左边|├下部ｽﾌﾟﾛｹｯﾄ台車ｼｭｰ左
d18295|断水下面的跨线梯梯梯梯梯右边|├下部ｽﾌﾟﾛｹｯﾄ台車ｼｭｰ右
d21060|断水开关动作点|├スイッチ動作点
d21061|称赞线大和大厅之间的间隙|└ﾗﾁｪｯﾄﾎｲｰﾙとﾎﾟｰﾙの間隙
d09788|吊桶铁轨驱动装置扶手滑动率抹消|├ハンドレール駆動装置手摺スリップ率抹消
d21038|断掉水面|├テイクアップ抹消
d21042|取消吊桶张力的调整费。|├手摺張力の調整代抹消
d21399|调整栏杆张力费左|├手摺張力の調整代 左
d21400|调整栏杆张力的费用右边|├手摺張力の調整代 右
d08229|消除鞋底摩擦橡胶厚度|├摩擦ゴム厚さ抹消
d09481|池塘摩擦橡胶厚度左|├摩擦ゴム厚さ 左
d09483|池塘摩擦橡胶厚度右侧|├摩擦ゴム厚さ 右
d08230|消除鞋底摩擦橡胶螺丝的深度|├摩擦ゴムビスの深さ抹消
d09485|池塘摩擦橡胶螺丝的深度左|├摩擦ゴムビスの深さ 左
d09487|池塘摩擦橡胶螺丝的深度右侧|├摩擦ゴムビスの深さ 右
d08274|冰水加压罗森普林压上抹消|├加圧ローラスプリング圧上抹消
d09489|冰水加压罗拉丝普林压力组左上|├加圧ローラスプリング圧グループ左上
d11727|水上加压罗拉丝推力组左上单位（N/mm/kg）|├加圧ローラスプリング圧グループ左上単位(N/mm/kg)
d09491|冰水加压罗拉丝普林压力组右上|├加圧ローラスプリング圧グループ右上
d21401|池塘加压罗拉丝推力组右上单位（N/mm/kg）|├加圧ローラスプリング圧グループ右上単位(N/mm/kg)
d08594|冰水加压罗森普林压下抹消|├加圧ローラスプリング圧下抹消
d09497|冰水加压劳拉斯普林斯集团左下|├加圧ローラスプリング圧グループ左下
d21404|水上加压罗拉丝推力组左下单位（N/mm/kg）|├加圧ローラスプリング圧グループ左下単位(N/mm/kg)
d09499|冰水加压罗拉丝Pring压组右下|├加圧ローラスプリング圧グループ右下
d21405|池塘加压罗拉丝推力组右下单位（N/mm/kg）|├加圧ローラスプリング圧グループ右下単位(N/mm/kg)
d30748|滑动链调整费|├手摺チェーン調整代
d09771|水栏杆第一链左抹消|├手摺第１チェーン左抹消
d09517|滑动第一链设置左|├手摺第１チェーン設定左
d09519|滑动第一链调整费左|├手摺第１チェーン調整代左
d21262|水栏杆第一链右抹消|├手摺第１チェーン右抹消
d21263|滑动第一链设置右|├手摺第１チェーン設定右
d21264|滑动第1链调整费右|├手摺第１チェーン調整代右
d09772|水栏第二链左抹消|├手摺第２チェーン左抹消
d09521|滑动第二链左|├手摺第２チェーン設定左
d09523|滑动第二链调整费左|├手摺第２チェーン調整代左
d09773|水栏第二链右抹消|├手摺第２チェーン右抹消
d09525|滑动第二链设置右|├手摺第２チェーン設定右
d09527|滑动第二链调整费右|├手摺第２チェーン調整代右
d09774|水栏第三链上全部抹消|├手摺第３チェーン上全体抹消
d09529|在滑动第三链上设置|├手摺第３チェーン上設定
d09531|滑动第3链上调整费|├手摺第３チェーン上調整代
d30745|水栏第三链下勾消|├手摺第３チェーン下抹消
d30746|设置滑动第3链|├手摺第３チェーン下設定
d30747|滑动第3链下调整费|├手摺第３チェーン下調整代
d09775|水栏第4条上左抹消|├手摺第４チェーン上左抹消
d09533|滑动第4链上设置左|├手摺第４チェーン上設定左
d09535|滑动第4链上调整费左|├手摺第４チェーン上調整代左
d09776|水面扶手第4链上右抹消|├手摺第４チェーン上右抹消
d09537|滑动第4链上设置右|├手摺第４チェーン上設定右
d09539|滑动第4链上调整费右|├手摺第４チェーン上調整代右
d21186|水栏第4链左抹消|├手摺第４チェーン下左抹消
d21187|滑动第4链设置左|├手摺第４チェーン下設定左
d21188|滑动第4链下调整费左|├手摺第４チェーン下調整代左
d21189|水栏第4链右抹消|├手摺第４チェーン下右抹消
d21190|滑动第4链设置右|├手摺第４チェーン下設定右
d21191|滑动第4链下调整费右|├手摺第４チェーン下調整代右
d08225|吊销链条向导|├チェーンガイド抹消
d09473|悬崖勒马|├チェーンガイド左
d09475|水上链导游右边|├チェーンガイド右
d21198|梯级浮起检测装置上部右入单位（N/mm）|踏段浮上がり検出装置上部右入単位(N/mm)
d21200|梯级浮上检测装置上部右出单位（N/mm）|踏段浮上がり検出装置上部右出単位(N/mm)
d21201|梯级浮上检测装置下部左入单位（N/mm）|踏段浮上がり検出装置下部左入単位(N/mm)
d21203|梯级浮上检测装置下部左出单位（N/mm）|踏段浮上がり検出装置下部左出単位(N/mm)
d21202|梯级浮上检测装置下部右入单位（N/mm）|踏段浮上がり検出装置下部右入単位(N/mm)
d21204|梯级浮上检测装置下部右出单位（N/mm）|踏段浮上がり検出装置下部右出単位(N/mm)
d22090|起跳检测装置上部左入抹消|踏段浮上がり検出装置上部左入抹消
d22091|起跳检测装置上部左出抹消|踏段浮上がり検出装置上部左出抹消
d22092|起跳检测装置上部右入抹消|踏段浮上がり検出装置上部右入抹消
d22093|起跳检测装置上部右出抹消|踏段浮上がり検出装置上部右出抹消
d22094|起跳检测装置下部左入抹消|踏段浮上がり検出装置下部左入抹消
d22095|起跳检测装置下部左出抹消|踏段浮上がり検出装置下部左出抹消
d22096|起跳检测装置下部右入抹消|踏段浮上がり検出装置下部右入抹消
d22097|起跳检测装置下部右出抹消|踏段浮上がり検出装置下部右出抹消
d21199|阶梯上升检测装置CRS上部左出单位（自动扶梯【上部驱动】输入用）|踏段浮上がり検出装置CRS上部左出単位（エスカレーター【上部駆動】入力用）
d09336|驱动器No（自动扶梯【中间部驱动（马达）】用于输入）|ドライブNo（エスカレーター【中間部駆動（モジュラー）】入力用）
d31481|通过电动机主电路用接触器的主触点目视确认|電動機主回路用接触器の主接点 目視による確認
d31482|电动机主电路用接触器的主触点相位保护设计|電動機主回路用接触器の主接点フェールセーフ設計
d31483|电动机主电路用接触器的主接点交换基准检查方法|電動機主回路用接触器の主接点交換基準検査方法
d31484|电动机主电路用接触器的主接点交换基准|電動機主回路用接触器の主接点交換基準
d31485|电动机主电路用接触器的主触点最终更换日|電動機主回路用接触器の主接点最終交換日
d31486|通过制动器用接触器的触点目视确认|ブレーキ用接触器の接点目視による確認
d31487|制动器用接触器的触点相位保护设计|ブレーキ用接触器の接点フェールセーフ設計
d31488|制动器用接触器的接点交换基准检查方法|ブレーキ用接触器の接点交換基準検査方法
d31489|制动器用接触器触点的主触点交换基准|ブレーキ用接触器の接点の主接点交換基準
d31490|制动器用接触器的触点最终更换日|ブレーキ用接触器の接点最終交換日
d31491|根据绳索车和主索的滑动等判定|綱車と主索の滑り等より判定
d31492|多个槽间磨损差的情况|複数の溝間の摩耗差の状況
d31493|纲车或卷筒电气协发送|綱車又は巻胴エレ協送信
d31494|油附着在刹车制动传动面上的情况|ブレーキしゅう動面への油の付着状況
d31495|制动器保持力的检查方法确认|ブレーキ保持力の検査方法確認
d31496|检查项目1（14）-3・检查结果（品检）|検査項目1(14)-3・検査結果（品検）
d31497|检查项目1（14）-3・检查结果（法检）|検査項目1(14)-3・検査結果（法検）
d31498|柱塞行程的检查方法确认|プランジャーストロークの検査方法確認
d31499|柱塞行程要重点基准|プランジャーストローク要重点基準
d31500|柱塞行程要重点基准单位区分|プランジャーストローク要重点基準単位区分
d31501|柱塞行程需要纠正标准|プランジャーストローク要是正基準
d31502|柱塞行程需要纠正基准单位区分|プランジャーストローク要是正基準単位区分
d31503|柱塞行程左下抹消|プランジャーストローク左下抹消
d31504|柱塞行程左下|プランジャーストローク左下
d31505|行程右下抹消|プランジャーストローク右下抹消
d31506|柱塞行程右下|プランジャーストローク右下
d31509|谷部看红锈颜色的部分的直径的素线切断相应的生锈及生锈的磨损粉判定基准|谷部が赤錆色に見える部分の径の素線切れ該当する錆及び錆びた摩耗粉判定基準
d31510|谷部可见红锈色部分的直径的根线切断相应的生锈及生锈的磨损粉主索最大数|谷部が赤錆色に見える部分の径の素線切れ該当する錆及び錆びた摩耗粉主索最大数
d31511|轿厢侧未磨损直径比|かご側未摩耗直径割合
d31512|轿厢侧素线切断判定基准|かご側素線切れ判定基準
d31513|轿厢侧截面的比例|かご側断面積の割合
d31514|轿厢侧谷部呈红锈色部分的直径|かご側谷部が赤錆色に見える部分の径直径
d31515|轿厢侧谷部呈红锈色部分的直径未磨损直径|かご側谷部が赤錆色に見える部分の径未摩耗直径
d31516|轿厢侧谷部呈红锈色部分的直径未磨损直径比|かご側谷部が赤錆色に見える部分の径未摩耗直径割合
d31517|轿厢侧相应的生锈及生锈的磨损粉判定标准|かご側該当する錆及び錆びた摩耗粉判定基準
d31518|铅坠侧未磨损直径比|おもり側未摩耗直径割合
d31519|重物侧素线切断判定基准|おもり側素線切れ判定基準
d31520|配重侧横截面积的比例|おもり側断面積の割合
d31521|护伞侧谷部红色锈色部分的直径|おもり側谷部が赤錆色に見える部分の径直径
d31522|护伞侧谷部红色锈色部分的直径未磨损直径|おもり側谷部が赤錆色に見える部分の径未摩耗直径
d31523|护伞侧谷部红色锈色部分的直径未磨损直径比|おもり側谷部が赤錆色に見える部分の径未摩耗直径割合
d31524|铅坠侧相应的生锈及生锈的磨损粉判定基准|おもり側該当する錆及び錆びた摩耗粉判定基準
d31525|平衡紧急停止装置工作状况|釣合おもり非常止め装置作動状況
d31526|缓冲器及缓冲材料形式|緩衝器及び緩衝材形式
d31527|缓冲器及缓冲材料老化的情况|緩衝器及び緩衝材劣化の状況
d31528|缓冲器和缓冲材料的工作情况|緩衝器及び緩衝材作動の状況
d31529|缓冲器及缓冲材料油量的情况|緩衝器及び緩衝材油量の状況
d31530|轿厢紧急停止装置工作状况|かご非常止め装置作動状況
